Fat_Supply_Quantity_Data,,,,,,,,,,,,
Fat_Supply_Quantity_Data,,,,,,,,,,,,
Country,Animal Products,Animal fats,Cereals ,Eggs,Seafood,Meat,Milk ,Confirmed,Deaths,Recovered,Active,Population
France,30.3,9.2,1.4,1,0.88,11.1,8,8,8,8,4.71,64940000
French Polynesia,25.2,4.7,3.7,0.8,1.58,14.1,3.9,3.9,3.9,3.9,NA,280000
Gabon,19.3,0.7,4.1,0.2,2.04,13.4,2.3,2.3,2.3,2.3,0.03,2231000
Gambia,6,0.3,4.9,0.2,1.35,1.3,2.8,2.8,2.8,2.8,0.01,2417000
Georgia,25.3,7.3,4.6,1.2,0.43,7.2,9.1,9.1,9.1,9.1,0.15,3715000
Germany,28.1,11,1.2,1,0.7,8.9,6.4,6.4,6.4,6.4,0.22,83300000
Ghana,7.7,0.8,5.7,0.3,2.78,3.2,0.4,0.4,0.4,0.4,0.02,31073000
Greece,17.9,1.7,1.3,0.8,0.32,6.6,8.3,8.3,8.3,8.3,0.59,10700000
Grenada,23.1,2.5,1.5,1.4,1.29,13,4.8,4.8,4.8,4.8,0.00,113000
Guatemala,15.4,1.8,9.4,2.6,0.15,7.1,3.7,3.7,3.7,3.7,0.05,18066000
Guinea,6.1,0.8,4.7,0.3,0.5,2.9,1.5,1.5,1.5,1.5,0.00,12560000
Guinea-Bissau,10.8,0.6,2.9,0.2,0.07,8.1,1.8,1.8,1.8,1.8,0.02,1927000
Guyana,22.7,1,2.9,0.3,1.17,12.6,7.6,7.6,7.6,7.6,0.10,787000
Haiti,12.1,1.7,5.8,0.1,0.37,7.9,1.9,1.9,1.9,1.9,0.02,11403000
Honduras,16.7,2.7,8.3,0.7,0.13,7.9,5.2,5.2,5.2,5.2,0.90,9864000
Hungary,29,12.3,1.3,1.2,0.2,10.1,5.2,5.2,5.2,5.2,0.86,9767000
Iceland,34.4,7.1,4.3,0.9,1.69,13.6,11,11,11,11,0.01,368000
India,16.1,7.5,5.1,0.8,0.38,0.9,6.5,6.5,6.5,6.5,0.01,1400100000
Indonesia,9.2,0.7,6.7,1.5,2.51,3.6,0.7,0.7,0.7,0.7,0.06,271739000
Iran (Islamic Republic of),16.9,6,5.6,1.3,0.61,6.2,2.6,2.6,2.6,2.6,0.18,84150000
Iraq,11.1,3.8,6.3,1.9,0.14,3.5,1.7,1.7,1.7,1.7,0.04,39725000
Ireland,27.2,8.6,2.7,0.9,0.94,10,6.5,6.5,6.5,6.5,3.51,5003000
Israel,15.8,1.3,1.6,0.9,0.57,8.2,4.8,4.8,4.8,4.8,0.77,9216000
Italy,21.9,5.4,1.4,1.1,0.73,8.7,5.9,5.9,5.9,5.9,0.71,60296000
Jamaica,23.1,6.2,2.2,0.3,1.22,9.5,5.7,5.7,5.7,5.7,0.15,2809000
Japan,19.5,1.9,1.9,3.1,3.27,7.8,3.2,3.2,3.2,3.2,0.03,125967000
Jordan,12.3,1.9,3.7,0.5,0.32,5.8,3.7,3.7,3.7,3.7,0.09,10679000
Kazakhstan,23.4,3,1.7,0.9,0.13,9.7,9.5,9.5,9.5,9.5,0.14,18732000
Kenya,17.7,1.9,10,0.3,0.28,6.6,8.5,8.5,8.5,8.5,0.03,53528000
Kiribati,10.6,0.7,2,0.3,3.08,6.2,0.3,0.3,0.3,0.3,NA,125000
"Korea, North",11.5,0,7.2,1.7,0.54,8.7,0.4,0.4,0.4,0.4,NA,25779000
"Korea, South",20,4.3,1.8,1.4,1.91,11.2,1.1,1.1,1.1,1.1,0.02,51781000
Kuwait,19.9,2.2,3.1,2.3,0.37,9.6,5.3,5.3,5.3,5.3,0.17,4691000
Kyrgyzstan,29.1,3.4,4.1,0.9,0.09,10.2,14.2,14.2,14.2,14.2,0.03,6594000
Lao People's Democratic Republic,21.6,4,9.1,0.5,1.69,15,0.2,0.2,0.2,0.2,0.00,7242000
Latvia,30.4,10.4,1.5,1.3,0.88,9.8,7.9,7.9,7.9,7.9,0.56,1902000
Lebanon,12.4,2.2,2.3,0.3,0.37,5.1,4.4,4.4,4.4,4.4,1.66,6825000
Lesotho,13,0.5,18.4,0.2,0.25,9.2,2.4,2.4,2.4,2.4,0.30,2142000
Liberia,7.4,0.4,3.4,0.3,0.37,6,0.2,0.2,0.2,0.2,0.00,5058000
Lithuania,32.3,9.4,1.8,1.9,1.24,14.2,5.4,5.4,5.4,5.4,1.62,2794000
Luxembourg,32.5,6.5,1.8,1.7,0.7,16.3,7.2,7.2,7.2,7.2,0.40,632000
Madagascar,19.1,1.7,10.1,0.3,0.75,11.6,4.4,4.4,4.4,4.4,0.00,27691000
Malawi,18.9,2.6,13.1,0.3,0.67,14.6,0.4,0.4,0.4,0.4,0.08,19130000
Malaysia,17.2,1.5,2.3,2.8,1.86,9.8,1.2,1.2,1.2,1.2,0.16,32781000
Maldives,29.7,4.8,4.5,3.3,8.41,5.8,7.4,7.4,7.4,7.4,0.38,541000
Mali,17.5,1.2,12.1,0.1,0.41,5.7,9.7,9.7,9.7,9.7,0.01,20251000
Malta,29.4,6.7,4.9,1.4,1.31,10.7,9.3,9.3,9.3,9.3,0.46,522000
Mauritania,17.4,1.7,4.3,0.4,0.54,5.7,8.6,8.6,8.6,8.6,0.01,4650000
Mauritius,12.9,1.5,3.2,0.7,1.05,6.8,2.8,2.8,2.8,2.8,0.00,1265000
Mexico,23.8,3.3,6.5,2.3,0.47,13.2,4.3,4.3,4.3,4.3,0.22,127792000
Mongolia,36.9,5.5,2.7,0.6,0.03,21,9.1,9.1,9.1,9.1,0.02,3361000
Montenegro,32.8,3.9,3.7,1.2,0.35,14.8,12.5,12.5,12.5,12.5,1.23,622000
Morocco,15.4,3.6,7.2,1.2,1.23,7,2.2,2.2,2.2,2.2,0.04,35952000
Mozambique,11.6,1.1,8.8,0.6,0.85,6.9,2.1,2.1,2.1,2.1,0.05,31166000
Myanmar,26,3,3.8,0.9,2.54,18.1,1.3,1.3,1.3,1.3,NA,54704000
Namibia,16.7,3.3,6.8,0.3,0.61,7.8,4.5,4.5,4.5,4.5,0.04,2541000
Nepal,12.2,3.3,7.2,0.4,0.16,2.7,5.4,5.4,5.4,5.4,0.01,29996000
Netherlands,30.1,6.6,1.3,1.5,0.75,10.9,10.4,10.4,10.4,10.4,5.66,17467000
New Caledonia,22.3,3.7,5.1,1,0.84,11.6,5,5,5,5,NA,295000
New Zealand,34.1,14,1.3,1.2,0.65,13.9,4.3,4.3,4.3,4.3,0.00,4987000
Nicaragua,18,2.3,9.2,1,0.42,7.6,6.5,6.5,6.5,6.5,0.03,6596000
Niger,11,2.7,12.4,0.1,0.14,3.6,4.3,4.3,4.3,4.3,0.00,24189000
Nigeria,5,0.8,7.1,0.6,0.6,2.5,0.5,0.5,0.5,0.5,0.01,206140000
North Macedonia,19.6,7.1,1.9,0.7,0.24,6.5,4.8,4.8,4.8,4.8,0.38,2080000
Norway,27.2,6.4,2,1.1,1.55,10.7,7.4,7.4,7.4,7.4,0.86,5387000
Oman,23.6,2.4,3.8,1.4,0.93,9,9.6,9.6,9.6,9.6,0.13,4713000
Pakistan,24.8,9,4.2,0.6,0.08,3.5,11.5,11.5,11.5,11.5,0.01,220940000
Panama,26,9.2,3.8,0.9,0.86,9.1,5.7,5.7,5.7,5.7,0.72,4283000
Paraguay,19.8,3.9,5,1.6,0.17,10.2,3.7,3.7,3.7,3.7,0.30,7255000
Peru,18,1.1,5.6,2.1,1.95,6.8,5.6,5.6,5.6,5.6,0.14,32824000
Philippines,29.8,7.4,3.5,1.1,1.6,18.9,0.6,0.6,0.6,0.6,0.03,109581000
Poland,32.7,12.4,1.6,0.7,0.49,13.3,5.9,5.9,5.9,5.9,0.53,38368000
Portugal,26.5,9.6,2.2,0.8,1.03,10.3,4.5,4.5,4.5,4.5,1.45,10255000
Republic of Moldova,26.5,6.9,2.6,1.6,0.69,9.8,7.5,7.5,7.5,7.5,0.21,3535000
Romania,27.4,6.9,2.6,1.6,0.2,8,10.6,10.6,10.6,10.6,0.18,19241000
Russian Federation,27.9,7.2,1.7,2,0.94,10.8,6.8,6.8,6.8,6.8,0.30,146733000
Rwanda,11.1,1,4.9,0.2,0.64,5.2,3.8,3.8,3.8,3.8,0.03,12952000
Saint Kitts and Nevis,24.3,4.7,2.1,0.6,0.73,14.4,3.8,3.8,3.8,3.8,0.01,54000
Saint Lucia,33.3,3.8,1.7,0.5,1.59,22.9,4.3,4.3,4.3,4.3,0.51,182000
Saint Vincent and the Grenadines,24.5,1.1,4.3,0.8,0.72,17.5,4.3,4.3,4.3,4.3,0.72,111000
Samoa,21.7,4.8,1.6,0.2,1.9,13.2,1.5,1.5,1.5,1.5,0.00,2E+05
Sao Tome and Principe,7.3,0.6,3,0.1,1.44,4.2,1,1,1,1,0.13,210000
Saudi Arabia,15.4,2.6,5.2,0.9,0.41,6.9,4.4,4.4,4.4,4.4,0.01,35041000
Senegal,6.1,0.8,5.7,0.3,0.71,3.2,1,1,1,1,0.03,16744000
Serbia,33,4.1,2.1,1.5,0.34,18.1,8.8,8.8,8.8,8.8,5.78,6957000
Sierra Leone,6,0.2,3.2,0.3,1.21,2,2.2,2.2,2.2,2.2,0.02,7977000
Slovakia,25.5,14.9,2,1.1,0.23,5.8,3.3,3.3,3.3,3.3,0.34,5462000
Slovenia,26.6,10,3.6,1.1,0.37,8.6,6.4,6.4,6.4,6.4,0.75,2103000
Solomon Islands,13.7,3.5,3.1,0.3,2.55,6.5,0.8,0.8,0.8,0.8,0.00,715000
South Africa,19.8,0.9,6.4,1.1,0.24,14.1,3.1,3.1,3.1,3.1,0.15,59628000
Spain,19.5,2.5,1.1,1.3,1.08,9.3,5.4,5.4,5.4,5.4,5.73,47635000
Sri Lanka,10.1,0.3,2.7,1.2,2.28,2,4.2,4.2,4.2,4.2,0.03,21937000
Sudan,20.2,1.7,5.7,0.2,0.06,7.1,10.8,10.8,10.8,10.8,0.01,43849000
Suriname,14.9,0.8,3.2,1,0.77,10.6,1.7,1.7,1.7,1.7,0.09,605000
Sweden,28.4,9.7,1.9,1.4,0.88,8.8,7.6,7.6,7.6,7.6,5.55,10377000
Switzerland,28.1,6.2,1.1,0.9,0.4,12.1,8.4,8.4,8.4,8.4,2.37,8634000
Taiwan*,19.3,2.7,1.2,1.5,0.47,13.3,1.3,1.3,1.3,1.3,0.00,23610000
Tajikistan,12.7,0,10.2,0.6,0.02,7.2,4.7,4.7,4.7,4.7,0.00,9429000
Thailand,19.6,1.7,2.5,2.9,1.8,11.7,1.5,1.5,1.5,1.5,0.01,66534000
Timor-Leste,17.9,2,10.2,0.2,0.79,14.6,0.2,0.2,0.2,0.2,0.00,1318000
Togo,5.3,0.5,8.9,0.2,0.57,3.4,0.5,0.5,0.5,0.5,0.01,8279000
Trinidad and Tobago,23.3,5.3,2.5,0.6,0.78,11.4,5.1,5.1,5.1,5.1,0.02,1369000
Tunisia,12.8,2.7,3.3,0.9,0.51,4,4.6,4.6,4.6,4.6,0.30,11896000
Turkey,13.7,2.9,2,0.8,0.14,3.8,5.9,5.9,5.9,5.9,0.10,83737000
Turkmenistan,32.7,6.5,3,1.1,0.13,17.5,7.4,7.4,7.4,7.4,NA,6031000
Uganda,12.3,1,3.4,0.2,0.86,6.1,4,4,4,4,0.05,45741000
Ukraine,26.9,5.5,3.1,2.4,0.52,9.6,8.7,8.7,8.7,8.7,0.36,41778000
United Arab Emirates,21.4,4,3,1.1,0.81,9.5,5.9,5.9,5.9,5.9,0.22,9778000
United Kingdom,25.9,4.3,1.5,1.1,0.52,12.6,7.4,7.4,7.4,7.4,5.69,67160000
United Republic of Tanzania,7.6,1.5,4.2,0.1,0.46,3,2.5,2.5,2.5,2.5,0.00,59734000
United States of America,21.2,3.3,1.3,1.3,0.39,9.4,6.8,6.8,6.8,6.8,8.02,329878000
Uruguay,25.5,3.5,2.6,1.3,0.33,12.3,8.1,8.1,8.1,8.1,0.17,3531000
Uzbekistan,26,2.5,2.7,1.1,0.1,10.4,11.8,11.8,11.8,11.8,0.00,34174000
Vanuatu,14.9,2,4.1,0.4,1.43,9.9,1.1,1.1,1.1,1.1,0.00,321000
Venezuela (Bolivarian Republic of),16.3,2.3,2.5,0.7,0.57,7.1,5.5,5.5,5.5,5.5,0.02,28645000
Vietnam,33.2,3.8,3.7,0.8,1.12,26.4,0.8,0.8,0.8,0.8,0.00,96209000
Yemen,12.5,2,11.5,0.6,0.38,8,1.3,1.3,1.3,1.3,0.00,29826000
Zambia,9.6,1.6,14.3,0.6,1.01,4.9,1.3,1.3,1.3,1.3,0.04,18384000
Zimbabwe,10.4,3,9.8,0.4,0.25,4.6,2.1,2.1,2.1,2.1,0.03,14863000
